Name,Team,Number,Position,Age,Height,Weight,College
Cole Aldrich,Los Angeles Clippers,45,C,27,11-Jun,250,Kansas
Jeff Ayres,Los Angeles Clippers,19,PF,29,9-Jun,250,Arizona State
Jamal Crawford,Los Angeles Clippers,11,SG,36,5-Jun,195,Michigan
Branden Dawson,Los Angeles Clippers,22,SF,23,6-Jun,225,Michigan State
Jeff Green,Los Angeles Clippers,8,SF,29,9-Jun,235,Georgetown
Blake Griffin,Los Angeles Clippers,32,PF,27,10-Jun,251,Oklahoma
Wesley Johnson,Los Angeles Clippers,33,SF,28,7-Jun,215,Syracuse
DeAndre Jordan,Los Angeles Clippers,6,C,27,11-Jun,265,Texas A&M
Luc Richard Mbah a Moute,Los Angeles Clippers,12,PF,29,8-Jun,230,UCLA
Chris Paul,Los Angeles Clippers,3,PG,31,Jun-00,175,Wake Forest
Paul Pierce,Los Angeles Clippers,34,SF,38,7-Jun,235,Kansas
Pablo Prigioni,Los Angeles Clippers,9,PG,39,3-Jun,185,
JJ Redick,Los Angeles Clippers,4,SG,31,4-Jun,190,Duke
Austin Rivers,Los Angeles Clippers,25,PG,23,4-Jun,200,Duke
C.J. Wilcox,Los Angeles Clippers,30,SG,25,5-Jun,195,Washington
Brandon Bass,Los Angeles Lakers,2,PF,31,8-Jun,250,LSU
Tarik Black,Los Angeles Lakers,28,C,24,9-Jun,250,Kansas
Anthony Brown,Los Angeles Lakers,3,SF,23,7-Jun,210,Stanford
Kobe Bryant,Los Angeles Lakers,24,SF,37,6-Jun,212,
Jordan Clarkson,Los Angeles Lakers,6,PG,24,5-Jun,194,Missouri
Roy Hibbert,Los Angeles Lakers,17,C,29,2-Jul,270,Georgetown
Marcelo Huertas,Los Angeles Lakers,9,PG,33,3-Jun,200,
Ryan Kelly,Los Angeles Lakers,4,PF,25,11-Jun,230,Duke
Larry Nance Jr.,Los Angeles Lakers,7,PF,23,9-Jun,230,Wyoming
Julius Randle,Los Angeles Lakers,30,PF,21,9-Jun,250,Kentucky
D'Angelo Russell,Los Angeles Lakers,1,PG,20,5-Jun,195,Ohio State
Robert Sacre,Los Angeles Lakers,50,C,27,Jul-00,270,Gonzaga
Louis Williams,Los Angeles Lakers,23,SG,29,1-Jun,175,
Metta World Peace,Los Angeles Lakers,37,SF,36,7-Jun,260,St. John's
Nick Young,Los Angeles Lakers,0,SF,31,7-Jun,210,USC
Eric Bledsoe,Phoenix Suns,2,PG,26,1-Jun,190,Kentucky
Devin Booker,Phoenix Suns,1,SG,19,6-Jun,206,Kentucky
Chase Budinger,Phoenix Suns,10,SF,28,7-Jun,209,Arizona
Tyson Chandler,Phoenix Suns,4,C,33,1-Jul,240,
Archie Goodwin,Phoenix Suns,20,SG,21,5-Jun,200,Kentucky
John Jenkins,Phoenix Suns,23,SG,25,4-Jun,215,Vanderbilt
Brandon Knight,Phoenix Suns,3,PG,24,3-Jun,189,Kentucky
Alex Len,Phoenix Suns,21,C,22,1-Jul,260,Maryland
Jon Leuer,Phoenix Suns,30,PF,27,10-Jun,228,Wisconsin
Phil Pressey,Phoenix Suns,25,PG,25,11-May,175,Missouri
Ronnie Price,Phoenix Suns,14,PG,32,2-Jun,190,Utah Valley
Mirza Teletovic,Phoenix Suns,35,PF,30,9-Jun,242,
P.J. Tucker,Phoenix Suns,17,SF,31,6-Jun,245,Texas
T.J. Warren,Phoenix Suns,12,SF,22,8-Jun,230,North Carolina State
Alan Williams,Phoenix Suns,15,C,23,8-Jun,260,UC Santa Barbara
Quincy Acy,Sacramento Kings,13,SF,25,7-Jun,240,Baylor
James Anderson,Sacramento Kings,5,SG,27,6-Jun,213,Oklahoma State
Marco Belinelli,Sacramento Kings,3,SG,30,5-Jun,210,
Caron Butler,Sacramento Kings,31,SF,36,7-Jun,228,Connecticut
Omri Casspi,Sacramento Kings,18,SF,27,9-Jun,225,
Willie Cauley-Stein,Sacramento Kings,0,C,22,Jul-00,240,Kentucky
Darren Collison,Sacramento Kings,7,PG,28,Jun-00,175,UCLA
DeMarcus Cousins,Sacramento Kings,15,C,25,11-Jun,270,Kentucky
Seth Curry,Sacramento Kings,30,SG,25,2-Jun,185,Duke
Duje Dukan,Sacramento Kings,26,PF,24,9-Jun,220,Wisconsin
Rudy Gay,Sacramento Kings,8,SF,29,8-Jun,230,Connecticut
Kosta Koufos,Sacramento Kings,41,C,27,Jul-00,265,Ohio State
Ben McLemore,Sacramento Kings,23,SG,23,5-Jun,195,Kansas
Eric Moreland,Sacramento Kings,25,PF,24,10-Jun,238,Oregon State
Rajon Rondo,Sacramento Kings,9,PG,30,1-Jun,186,Kentucky
Cameron Bairstow,Chicago Bulls,41,PF,25,9-Jun,250,New Mexico
Aaron Brooks,Chicago Bulls,0,PG,31,Jun-00,161,Oregon
Jimmy Butler,Chicago Bulls,21,SG,26,7-Jun,220,Marquette
Mike Dunleavy,Chicago Bulls,34,SG,35,9-Jun,230,Duke
Cristiano Felicio,Chicago Bulls,6,PF,23,10-Jun,275,
Pau Gasol,Chicago Bulls,16,C,35,Jul-00,250,
Taj Gibson,Chicago Bulls,22,PF,30,9-Jun,225,USC
Justin Holiday,Chicago Bulls,7,SG,27,6-Jun,185,Washington
Doug McDermott,Chicago Bulls,3,SF,24,8-Jun,225,Creighton
Nikola Mirotic,Chicago Bulls,44,PF,25,10-Jun,220,
E'Twaun Moore,Chicago Bulls,55,SG,27,4-Jun,191,Purdue
Joakim Noah,Chicago Bulls,13,C,31,11-Jun,232,Florida
Bobby Portis,Chicago Bulls,5,PF,21,11-Jun,230,Arkansas
Derrick Rose,Chicago Bulls,1,PG,27,3-Jun,190,Memphis
Tony Snell,Chicago Bulls,20,SF,24,7-Jun,200,New Mexico
Matthew Dellavedova,Cleveland Cavaliers,8,PG,25,4-Jun,198,Saint Mary's
Channing Frye,Cleveland Cavaliers,9,PF,33,11-Jun,255,Arizona
Kyrie Irving,Cleveland Cavaliers,2,PG,24,3-Jun,193,Duke
LeBron James,Cleveland Cavaliers,23,SF,31,8-Jun,250,
Richard Jefferson,Cleveland Cavaliers,24,SF,35,7-Jun,233,Arizona
Dahntay Jones,Cleveland Cavaliers,30,SG,35,6-Jun,225,Duke
James Jones,Cleveland Cavaliers,1,SG,35,8-Jun,218,Miami (FL)
Sasha Kaun,Cleveland Cavaliers,14,C,31,11-Jun,260,Kansas
Kevin Love,Cleveland Cavaliers,0,PF,27,10-Jun,251,UCLA
Jordan McRae,Cleveland Cavaliers,12,SG,25,5-Jun,179,Tennessee
Timofey Mozgov,Cleveland Cavaliers,20,C,29,1-Jul,275,
Iman Shumpert,Cleveland Cavaliers,4,SG,25,5-Jun,220,Georgia Tech
J.R. Smith,Cleveland Cavaliers,5,SG,30,6-Jun,225,
Tristan Thompson,Cleveland Cavaliers,13,C,25,9-Jun,238,Texas
Mo Williams,Cleveland Cavaliers,52,PG,33,1-Jun,198,Alabama
Joel Anthony,Detroit Pistons,50,C,33,9-Jun,245,UNLV
Aron Baynes,Detroit Pistons,12,C,29,10-Jun,260,Washington State
Steve Blake,Detroit Pistons,22,PG,36,3-Jun,172,Maryland
Lorenzo Brown,Detroit Pistons,17,PG,25,5-Jun,189,North Carolina State
Reggie Bullock,Detroit Pistons,25,SF,25,7-Jun,205,North Carolina
Kentavious Caldwell-Pope,Detroit Pistons,5,SG,23,5-Jun,205,Georgia
Spencer Dinwiddie,Detroit Pistons,8,PG,23,6-Jun,200,Colorado
Andre Drummond,Detroit Pistons,0,C,22,11-Jun,279,Connecticut
Tobias Harris,Detroit Pistons,34,SF,23,9-Jun,235,Tennessee
Darrun Hilliard,Detroit Pistons,6,SF,23,6-Jun,205,Villanova
Reggie Jackson,Detroit Pistons,1,PG,26,3-Jun,208,Boston College
Stanley Johnson,Detroit Pistons,3,SF,20,7-Jun,245,Arizona
Jodie Meeks,Detroit Pistons,20,SG,28,4-Jun,210,Kentucky
Marcus Morris,Detroit Pistons,13,PF,26,9-Jun,235,Kansas
Anthony Tolliver,Detroit Pistons,43,PF,31,8-Jun,240,Creighton
Lavoy Allen,Indiana Pacers,5,PF,27,9-Jun,255,Temple
Rakeem Christmas,Indiana Pacers,25,PF,24,9-Jun,250,Syracuse
Monta Ellis,Indiana Pacers,11,SG,30,3-Jun,185,
Paul George,Indiana Pacers,13,SF,26,9-Jun,220,Fresno State
George Hill,Indiana Pacers,3,PG,30,3-Jun,188,IUPUI
Jordan Hill,Indiana Pacers,27,C,28,10-Jun,235,Arizona
Solomon Hill,Indiana Pacers,44,SF,25,7-Jun,225,Arizona
Ty Lawson,Indiana Pacers,10,PG,28,11-May,195,North Carolina
Ian Mahinmi,Indiana Pacers,28,C,29,11-Jun,250,
C.J. Miles,Indiana Pacers,0,SF,29,6-Jun,231,
Glenn Robinson III,Indiana Pacers,40,SG,22,7-Jun,222,Michigan
Rodney Stuckey,Indiana Pacers,2,PG,30,5-Jun,205,Eastern Washington
Myles Turner,Indiana Pacers,33,PF,20,11-Jun,243,Texas
Shayne Whittington,Indiana Pacers,42,PF,25,11-Jun,250,Western Michigan
Joe Young,Indiana Pacers,1,PG,23,2-Jun,180,Oregon
Giannis Antetokounmpo,Milwaukee Bucks,34,SF,21,11-Jun,222,
Jerryd Bayless,Milwaukee Bucks,19,PG,27,3-Jun,200,Arizona
Michael Carter-Williams,Milwaukee Bucks,5,PG,24,6-Jun,190,Syracuse
Jared Cunningham,Milwaukee Bucks,9,SG,25,4-Jun,195,Oregon State
Tyler Ennis,Milwaukee Bucks,11,PG,21,3-Jun,194,Syracuse
John Henson,Milwaukee Bucks,31,PF,25,11-Jun,229,North Carolina
Damien Inglis,Milwaukee Bucks,17,SF,21,8-Jun,246,
O.J. Mayo,Milwaukee Bucks,3,SG,28,5-Jun,210,USC
Khris Middleton,Milwaukee Bucks,22,SG,24,8-Jun,234,Texas A&M
Greg Monroe,Milwaukee Bucks,15,C,26,11-Jun,265,Georgetown
Steve Novak,Milwaukee Bucks,6,SF,32,10-Jun,225,Marquette
Johnny O'Bryant III,Milwaukee Bucks,77,PF,23,9-Jun,257,LSU
Jabari Parker,Milwaukee Bucks,12,PF,21,8-Jun,250,Duke
Miles Plumlee,Milwaukee Bucks,18,C,27,11-Jun,249,Duke
Greivis Vasquez,Milwaukee Bucks,21,PG,29,6-Jun,217,Maryland
Rashad Vaughn,Milwaukee Bucks,20,SG,19,6-Jun,202,UNLV
Justin Anderson,Dallas Mavericks,1,SG,22,6-Jun,228,Virginia
J.J. Barea,Dallas Mavericks,5,PG,31,Jun-00,185,Northeastern
Jeremy Evans,Dallas Mavericks,21,SF,28,9-Jun,200,Western Kentucky
Raymond Felton,Dallas Mavericks,2,PG,31,1-Jun,205,North Carolina
Devin Harris,Dallas Mavericks,34,PG,33,3-Jun,185,Wisconsin
David Lee,Dallas Mavericks,42,PF,33,9-Jun,245,Florida
Wesley Matthews,Dallas Mavericks,23,SG,29,5-Jun,220,Marquette
JaVale McGee,Dallas Mavericks,11,C,28,Jul-00,270,Nevada
Salah Mejri,Dallas Mavericks,50,C,29,2-Jul,245,
Dirk Nowitzki,Dallas Mavericks,41,PF,37,Jul-00,245,
Zaza Pachulia,Dallas Mavericks,27,C,32,11-Jun,275,
Chandler Parsons,Dallas Mavericks,25,SF,27,10-Jun,230,Florida
Dwight Powell,Dallas Mavericks,7,PF,24,11-Jun,240,Stanford
Charlie Villanueva,Dallas Mavericks,3,PF,31,11-Jun,232,Connecticut
Deron Williams,Dallas Mavericks,8,PG,31,3-Jun,200,Illinois
Trevor Ariza,Houston Rockets,1,SF,30,8-Jun,215,UCLA
Michael Beasley,Houston Rockets,8,SF,27,10-Jun,235,Kansas State
Patrick Beverley,Houston Rockets,2,PG,27,1-Jun,185,Arkansas
Corey Brewer,Houston Rockets,33,SG,30,9-Jun,186,Florida
Clint Capela,Houston Rockets,15,PF,22,10-Jun,240,
Sam Dekker,Houston Rockets,7,SF,22,9-Jun,230,Wisconsin
Andrew Goudelock,Houston Rockets,0,PG,27,3-Jun,200,Charleston
James Harden,Houston Rockets,13,SG,26,5-Jun,220,Arizona State
Montrezl Harrell,Houston Rockets,35,PF,22,8-Jun,240,Louisville
Dwight Howard,Houston Rockets,12,C,30,11-Jun,265,
Terrence Jones,Houston Rockets,6,PF,24,9-Jun,252,Kentucky
K.J. McDaniels,Houston Rockets,32,SG,23,6-Jun,205,Clemson
Donatas Motiejunas,Houston Rockets,20,PF,25,Jul-00,222,
Josh Smith,Houston Rockets,5,C,30,9-Jun,225,
Jason Terry,Houston Rockets,31,SG,38,2-Jun,185,Arizona
Jordan Adams,Memphis Grizzlies,3,SG,21,5-Jun,209,UCLA
Tony Allen,Memphis Grizzlies,9,SG,34,4-Jun,213,Oklahoma State
Chris Andersen,Memphis Grizzlies,7,PF,37,10-Jun,245,Blinn College
Matt Barnes,Memphis Grizzlies,22,SF,36,7-Jun,226,UCLA
Vince Carter,Memphis Grizzlies,15,SG,39,6-Jun,220,North Carolina
Mike Conley,Memphis Grizzlies,11,PG,28,1-Jun,175,Ohio State
Bryce Cotton,Memphis Grizzlies,8,PG,23,1-Jun,165,Providence
Jordan Farmar,Memphis Grizzlies,4,PG,29,2-Jun,180,UCLA
Marc Gasol,Memphis Grizzlies,33,C,31,1-Jul,255,
JaMychal Green,Memphis Grizzlies,0,PF,25,9-Jun,227,Alabama
P.J. Hairston,Memphis Grizzlies,19,SF,23,6-Jun,230,North Carolina
Jarell Martin,Memphis Grizzlies,10,PF,22,10-Jun,239,LSU
Ray McCallum,Memphis Grizzlies,5,PG,24,3-Jun,190,Detroit
Xavier Munford,Memphis Grizzlies,14,PG,24,3-Jun,180,Rhode Island
Zach Randolph,Memphis Grizzlies,50,PF,34,9-Jun,260,Michigan State
Lance Stephenson,Memphis Grizzlies,1,SF,25,5-Jun,230,Cincinnati
Alex Stepheson,Memphis Grizzlies,35,PF,28,10-Jun,270,USC
Brandan Wright,Memphis Grizzlies,34,PF,28,10-Jun,210,North Carolina
Alexis Ajinca,New Orleans Pelicans,42,C,28,2-Jul,248,
Ryan Anderson,New Orleans Pelicans,33,PF,28,10-Jun,240,California
Omer Asik,New Orleans Pelicans,3,C,29,Jul-00,255,
Luke Babbitt,New Orleans Pelicans,8,SF,26,9-Jun,225,Nevada
Norris Cole,New Orleans Pelicans,30,PG,27,2-Jun,175,Cleveland State
Dante Cunningham,New Orleans Pelicans,44,PF,29,8-Jun,230,Villanova
Anthony Davis,New Orleans Pelicans,23,PF,23,10-Jun,253,Kentucky
Bryce Dejean-Jones,New Orleans Pelicans,31,SG,23,6-Jun,203,Iowa State
Toney Douglas,New Orleans Pelicans,16,PG,30,2-Jun,195,Florida State
James Ennis,New Orleans Pelicans,4,SF,25,7-Jun,210,Long Beach State
Tyreke Evans,New Orleans Pelicans,1,SG,26,6-Jun,220,Memphis
Tim Frazier,New Orleans Pelicans,2,PG,25,1-Jun,170,Penn State
Alonzo Gee,New Orleans Pelicans,15,SF,29,6-Jun,225,Alabama
Eric Gordon,New Orleans Pelicans,10,SG,27,4-Jun,215,Indiana
Jordan Hamilton,New Orleans Pelicans,25,SG,25,7-Jun,220,Texas
Jrue Holiday,New Orleans Pelicans,11,PG,25,4-Jun,205,UCLA
Orlando Johnson,New Orleans Pelicans,0,SG,27,5-Jun,220,UC Santa Barbara
Kendrick Perkins,New Orleans Pelicans,5,C,31,10-Jun,270,
Quincy Pondexter,New Orleans Pelicans,20,SF,28,7-Jun,220,Washington
LaMarcus Aldridge,San Antonio Spurs,12,PF,30,11-Jun,240,Texas
Kyle Anderson,San Antonio Spurs,1,SF,22,9-Jun,230,UCLA
Matt Bonner,San Antonio Spurs,15,C,36,10-Jun,235,Florida
Boris Diaw,San Antonio Spurs,33,C,34,8-Jun,250,
Tim Duncan,San Antonio Spurs,21,C,40,11-Jun,250,Wake Forest
Manu Ginobili,San Antonio Spurs,20,SG,38,6-Jun,205,
Danny Green,San Antonio Spurs,14,SG,28,6-Jun,215,North Carolina
Kawhi Leonard,San Antonio Spurs,2,SF,24,7-Jun,230,San Diego State
Boban Marjanovic,San Antonio Spurs,40,C,27,3-Jul,290,
Kevin Martin,San Antonio Spurs,23,SG,33,7-Jun,199,Western Carolina
Andre Miller,San Antonio Spurs,24,PG,40,3-Jun,200,Utah
Patty Mills,San Antonio Spurs,8,PG,27,Jun-00,185,Saint Mary's
Tony Parker,San Antonio Spurs,9,PG,34,2-Jun,185,
Jonathon Simmons,San Antonio Spurs,17,SG,26,6-Jun,195,Houston
David West,San Antonio Spurs,30,PF,35,9-Jun,250,Xavier
Kent Bazemore,Atlanta Hawks,24,SF,26,5-Jun,201,Old Dominion
Tim Hardaway Jr.,Atlanta Hawks,10,SG,24,6-Jun,205,Michigan
Kirk Hinrich,Atlanta Hawks,12,SG,35,4-Jun,190,Kansas
Al Horford,Atlanta Hawks,15,C,30,10-Jun,245,Florida
Kris Humphries,Atlanta Hawks,43,PF,31,9-Jun,235,Minnesota
Kyle Korver,Atlanta Hawks,26,SG,35,7-Jun,212,Creighton
Paul Millsap,Atlanta Hawks,4,PF,31,8-Jun,246,Louisiana Tech
Mike Muscala,Atlanta Hawks,31,PF,24,11-Jun,240,Bucknell
Lamar Patterson,Atlanta Hawks,13,SG,24,5-Jun,225,Pittsburgh
Dennis Schroder,Atlanta Hawks,17,PG,22,1-Jun,172,
Mike Scott,Atlanta Hawks,32,PF,27,8-Jun,237,Virginia
Thabo Sefolosha,Atlanta Hawks,25,SF,32,7-Jun,220,
Tiago Splitter,Atlanta Hawks,11,C,31,11-Jun,245,
Walter Tavares,Atlanta Hawks,22,C,24,3-Jul,260,
Jeff Teague,Atlanta Hawks,0,PG,27,2-Jun,186,Wake Forest
Nicolas Batum,Charlotte Hornets,5,SG,27,8-Jun,200,
Troy Daniels,Charlotte Hornets,30,SG,24,4-Jun,205,Virginia Commonwealth
Jorge Gutierrez,Charlotte Hornets,12,PG,27,3-Jun,189,California
Tyler Hansbrough,Charlotte Hornets,50,PF,30,9-Jun,250,North Carolina
Aaron Harrison,Charlotte Hornets,9,SG,21,6-Jun,210,Kentucky
Spencer Hawes,Charlotte Hornets,0,PF,28,1-Jul,245,Washington
Al Jefferson,Charlotte Hornets,25,C,31,10-Jun,289,
Frank Kaminsky III,Charlotte Hornets,44,C,23,Jul-00,240,Wisconsin
Michael Kidd-Gilchrist,Charlotte Hornets,14,SF,22,7-Jun,232,Kentucky
Jeremy Lamb,Charlotte Hornets,3,SG,24,5-Jun,185,Connecticut
Courtney Lee,Charlotte Hornets,1,SG,30,5-Jun,200,Western Kentucky
Jeremy Lin,Charlotte Hornets,7,PG,27,3-Jun,200,Harvard
Kemba Walker,Charlotte Hornets,15,PG,26,1-Jun,184,Connecticut
Marvin Williams,Charlotte Hornets,2,PF,29,9-Jun,237,North Carolina
Cody Zeller,Charlotte Hornets,40,C,23,Jul-00,240,Indiana
Chris Bosh,Miami Heat,1,PF,32,11-Jun,235,Georgia Tech
Luol Deng,Miami Heat,9,SF,31,9-Jun,220,Duke
Goran Dragic,Miami Heat,7,PG,30,3-Jun,190,
Gerald Green,Miami Heat,14,SF,30,7-Jun,205,
Udonis Haslem,Miami Heat,40,PF,36,8-Jun,235,Florida
Joe Johnson,Miami Heat,2,SF,34,7-Jun,240,Arkansas
Tyler Johnson,Miami Heat,8,SG,24,4-Jun,186,Fresno State
Josh McRoberts,Miami Heat,4,PF,29,10-Jun,240,Duke
Josh Richardson,Miami Heat,0,SG,22,6-Jun,200,Tennessee
Amar'e Stoudemire,Miami Heat,5,PF,33,10-Jun,245,
Dwyane Wade,Miami Heat,3,SG,34,4-Jun,220,Marquette
Briante Weber,Miami Heat,12,PG,23,2-Jun,165,Virginia Commonwealth
Hassan Whiteside,Miami Heat,21,C,26,Jul-00,265,Marshall
Justise Winslow,Miami Heat,20,SF,20,7-Jun,225,Duke
Dorell Wright,Miami Heat,11,SF,30,9-Jun,205,
Dewayne Dedmon,Orlando Magic,3,C,26,Jul-00,245,USC
Evan Fournier,Orlando Magic,10,SG,23,7-Jun,205,
Aaron Gordon,Orlando Magic,0,PF,20,9-Jun,220,Arizona
Mario Hezonja,Orlando Magic,23,SG,21,8-Jun,218,
Ersan Ilyasova,Orlando Magic,7,PF,29,10-Jun,235,
Brandon Jennings,Orlando Magic,55,PG,26,1-Jun,169,
Devyn Marble,Orlando Magic,11,SF,23,6-Jun,200,Iowa
Shabazz Napier,Orlando Magic,13,PG,24,1-Jun,175,Connecticut
Andrew Nicholson,Orlando Magic,44,PF,26,9-Jun,250,St. Bonaventure
Victor Oladipo,Orlando Magic,5,SG,24,4-Jun,210,Indiana
Elfrid Payton,Orlando Magic,4,PG,22,4-Jun,185,Louisiana-Lafayette
Jason Smith,Orlando Magic,14,PF,30,Jul-00,240,Colorado State
Nikola Vucevic,Orlando Magic,9,C,25,Jul-00,260,USC
C.J. Watson,Orlando Magic,32,PG,32,2-Jun,175,Tennessee
Alan Anderson,Washington Wizards,6,SG,33,6-Jun,220,Michigan State
